Nested Sampling Global Log-Evidence           :   -0.520966387987389339E+03  +/-    0.556743218095089032E-01
Nested Importance Sampling Global Log-Evidence:   -0.521350094106737174E+03  +/-    0.966827423016979916E-02

Dim No.       Mean        Sigma
   1    0.740689877079637569E+02    0.139097938522959219E+01
   2    0.223461550775405846E-01    0.163284098216151768E-03
   3    0.142027099278355995E+00    0.135595784494759106E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.711043449315540101E+02
   2    0.221370969213985497E-01
   3    0.128975848376750940E+00

MAP Parameters
Dim No.        Parameter
   1    0.732057336738585747E+02
   2    0.225067430422009121E-01
   3    0.148978512807793867E+00
